Product_info,Price,star_info,Reviews,Ratings,Features
iFFALCON by TCL 100.3 cm (40 inch) Full HD LED Smart Android TV with Google assistant search and Dolby...,"₹18,999",4.3,"2,112","12,949","['Netflix|Disney+Hotstar|Youtube', 'Operating System: Android', 'Full HD 1920 x 1080 Pixels', '20 W Speaker Output', '60 Hz Refresh Rate', '2 x HDMI | 1 x USB', 'A+ Grade Panel', '1 Year Domestic Warranty']"
iFFALCON by TCL 79.97 cm (32 inch) HD Ready LED Smart Android TV with Google assistant tv HDR 10 and D...,"₹13,499",4.2,"3,442","23,893","['Netflix|Disney+Hotstar|Youtube', 'Operating System: Android', 'HD Ready 1366 x 768 Pixels', '16 W Speaker Output', '60 Hz Refresh Rate', '2 x HDMI | 1 x USB', 'A+ Grade Panel', '1 Year Domestic Warranty']"
Vu Premium 108 cm (43 inch) Full HD LED Smart Android TV,"₹22,999",4.3,"4,140","29,701","['Netflix|Prime Video|Disney+Hotstar|Youtube', 'Operating System: Android', 'Full HD 1920 x 1080 Pixels', '24 W Speaker Output', '60 Hz Refresh Rate', '2 x HDMI | 2 x USB', 'A+ Grade High Bright Full HD Panel', '1 Year Vu Domestic Warranty']"
SAMSUNG Crystal 4K 138 cm (55 inch) Ultra HD (4K) LED Smart TV,"₹52,999",4.3,106,788,"['Netflix|Disney+Hotstar|Youtube', 'Operating System: Tizen', 'Ultra HD (4K) 3840 x 2160 Pixels', '20 W Speaker Output', '60 Hz Refresh Rate', '3 x HDMI | 1 x USB', '1 Year Product Warranty and 1 Year Additional on Panel']"
iFFALCON by TCL 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV,"₹24,999",4.2,890,"6,382","['Netflix|Disney+Hotstar|Youtube', 'Operating System: Android', 'Ultra HD (4K) 3840 x 2160 Pixels', '24 W Speaker Output', '60 Hz Refresh Rate', '2 x HDMI | 1 x USB', 'A+ Grade UHD 10-bit DLED Panel', '1 Year Warranty on Product']"
SAMSUNG 80 cm (32 inch) HD Ready LED Smart TV 2020 Edition with Voice Search,"₹18,499",4.3,304,"3,212","['Netflix|Disney+Hotstar|Youtube', 'Operating System: Tizen', 'HD Ready 1366 x 768 Pixels', '20 W Speaker Output', '60 Hz Refresh Rate', '2 x HDMI | 1 x USB', '1 Year Comprehensive Warranty on Product and 1 Year Additional warranty on Panel']"
LG 108 cm (43 inch) Full HD LED Smart TV 2020 Edition,"₹31,999",4.4,453,"5,126","['Netflix|Prime Video|Disney+Hotstar|Youtube', 'Operating System: WebOS', 'Full HD 1920 x 1080 Pixels', '20 W Speaker Output', '50 Hz Refresh Rate', '2 x HDMI | 1 x USB', 'IPS', '1 Year LG India Comprehensive Warranty and Additional 1 Year Warranty is Applicable on Panel/Module']"
SAMSUNG The Frame 2021 Series 163 cm (65 inch) QLED Ultra HD (4K) Smart TV,"₹1,24,999",4.1,24,119,"['Netflix|Prime Video|Disney+Hotstar|Youtube', 'Operating System: Tizen', 'Ultra HD (4K) 3840 x 2160 Pixels', '40 W Speaker Output', '120 Hz Refresh Rate', '4 x HDMI | 2 x USB', '1 Year Product Warranty and 1 Year Additional on Panel']"
Vu Premium 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV,"₹36,999",4.5,"3,190","17,987","['Netflix|Prime Video|Disney+Hotstar|Youtube', 'Operating System: Android', 'Ultra HD (4K) 3840 x 2160 Pixels', '30 W Speaker Output', '60 Hz Refresh Rate', '3 x HDMI | 2 x USB', 'A+ Grade', '1 Year Vu Domestic Warranty']"
Infinix X1 80 cm (32 inch) HD Ready LED Smart Android TV with Eye Care Technology,"₹13,999",4.2,841,"5,280","['Netflix|Prime Video|Disney+Hotstar|Youtube', 'Operating System: Android', 'HD Ready 1366 x 768 Pixels', '20 W Speaker Output', '60 Hz Refresh Rate', '2 x HDMI | 1 x USB', '1 Year Domestic Warranty']"
realme 80 cm (32 inch) Full HD LED Smart Android TV,"₹17,999",4.1,41,348,"['Netflix|Prime Video|Disney+Hotstar|Youtube', 'Operating System: Android', 'Full HD 1080 x 1920 Pixels', '24 W Speaker Output', '60 Hz Refresh Rate', '3 x HDMI | 2 x USB', '1 Year Warranty on TV and 2 Years Warranty on the Display Panel']"
SAMSUNG 80 cm (32 inch) HD Ready LED Smart TV 2020 Edition with Voice Search,"₹18,499",4.4,"2,463","19,152","['Netflix|Disney+Hotstar|Youtube', 'Operating System: Tizen', 'HD Ready 1366 x 768 Pixels', '20 W Speaker Output', '60 Hz Refresh Rate', '2 x HDMI | 1 x USB', '1 Year Comprehensive Warranty on Product and 1 Year Additional warranty on Panel']"
Nokia 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Sound by Onkyo,"₹30,999",4.3,797,"4,651","['Netflix|Prime Video|Disney+Hotstar|Youtube', 'Operating System: Android', 'Ultra HD (4K) 3840 x 2160 Pixels', '39 W Speaker Output', '60 Hz Refresh Rate', '3 x HDMI | 2 x USB', 'VA Panel', '1 Year Warranty on Product']"
KODAK 7XPRO Series 106 cm (42 inch) Full HD LED Smart Android TV,"₹20,999",4.4,"3,655","14,239","['Disney+Hotstar|Youtube', 'Operating System: Android', 'Full HD 1920 x 1080 Pixels', '30 W Speaker Output', '60 Hz Refresh Rate', '3 x HDMI | 2 x USB', '1 Year Warranty on Product']"
Vu Premium 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV,"₹39,999",4.5,"3,190","17,987","['Netflix|Prime Video|Disney+Hotstar|Youtube', 'Operating System: Android', 'Ultra HD (4K) 3840 x 2160 Pixels', '30 W Speaker Output', '60 Hz Refresh Rate', '3 x HDMI | 2 x USB', 'A+ Grade', '1 Year Vu Domestic Warranty']"
SAMSUNG Crystal 4K Pro 138 cm (55 inch) Ultra HD (4K) LED Smart TV with Voice Search,"₹56,999",4.3,121,817,"['Netflix|Disney+Hotstar|Youtube', 'Operating System: Tizen', 'Ultra HD (4K) 3840 x 2160 Pixels', '20 W Speaker Output', '60 Hz Refresh Rate', '3 x HDMI | 1 x USB', '1 Year Product Warranty and 1 Year Additional on Panel']"
SONY Bravia X7002G 108 cm (43 inch) Ultra HD (4K) LED Smart TV,"₹42,999",4.5,841,"4,788","['Netflix|Prime Video|Youtube', 'Operating System: Linux based', 'Ultra HD (4K) 3840 x 2160 Pixels', '20 W Speaker Output', '50 Hz Refresh Rate', '3 x HDMI | 3 x USB', 'LED', '1 Year Manufacturer Warranty']"
Mi Q1 138.8 cm (55 inch) QLED Ultra HD (4K) Smart Android TV,"₹59,999",4.4,347,"2,440","['Netflix|Prime Video|Disney+Hotstar|Youtube', 'Operating System: Android', 'Ultra HD (4K) 3840 x 2160 Pixels', '30 W Speaker Output', '60 Hz Refresh Rate', '3 x HDMI | 2 x USB', '1 Year on Product and 1 Additional Year for Panel From Mi']"
OnePlus Y Series 108 cm (43 inch) Full HD LED Smart Android TV,"₹29,499",4.3,"2,626","29,272","['Netflix|Prime Video|Disney+Hotstar|Youtube', 'Operating System: Android', 'Full HD 1920 x 1080 Pixels', '20 W Speaker Output', '60 Hz Refresh Rate', '2 x HDMI | 2 x USB', 'LED', '1 Year Comprehensive Warranty and Additional 1 Year on Panel Provided By the Manufacturer From Date of Purchase']"
